Sommet1 -> Sommet 2  Poids
python.jpg 0 1 eagle.jpg 50
wolf.jpg 2 1 eagle.jpg  50
wolf.jpg 2 0 python.jpg 100
thrush.jpg 3 1 eagle.jpg  75
rat.jpg 4 0 python.jpg  25
rat.jpg 4 2 wolf.jpg 25
thrush.jpg 3 2 wolf.jpg 25
frog.jpg 5 1 eagle.jpg 0
dragonfly.jpg 6 5 frog.jpg 100
dragonfly.jpg 6 3 thrush.jpg 20
grasshopper.jpg 7 4 rat.jpg 80
grasshopper.jpg 7 5 frog.jpg 20
butterfly.jpg 8 5 frog.jpg 20
butterfly.jpg 8 6 dragonfly.jpg 20
fruitfly.jpg  9 5 frog.jpg 20
fruitfly.jpg  9 6 dragonfly.jpg 20
fruitfly.jpg  9 3 thrush.jpg 20
grass.jpg 10 7 grasshopper.jpg 20
lavander.jpg 11 7 grasshopper.jpg 20
mangoes.jpg 12 8 butterfly.jpg 20
corn.jpg 13 8 butterfly.jpg 20
flowering.jpg 14 9 fruitfly.jpg  20
